experiment,track.order,track.spp,track.type,track.length,breeding.season,native.plant,jawe,rble,rvbu,rwbu,other
23,5,rvbu,treat,15,0,1,1,1,0,0,0
23,6,jawe.rble,treat,15,0,1,1,1,0,0,0
23,7,rwbu,treat,15,0,1,0,1,0,0,0
23,8,wrsh,treat,15,0,1,0,1,0,0,0
24,1,control,con,15,0,0,0,1,0,0,1
24,2,control,con,15,0,0,0,0,0,0,0
24,3,control,con,15,0,0,0,0,0,0,0
24,4,control,con,15,0,0,0,0,1,0,0
24,5,rvbu,treat,15,0,0,1,1,1,1,1
24,6,jawe,treat,10,0,0,1,1,0,1,1
24,7,rble,treat,20,0,0,0,0,0,0,0
24,8,rwbu,treat,15,0,0,0,0,0,1,0
25,1,control,con,15,0,1,1,0,0,0,0
25,2,control,con,15,0,1,0,0,0,0,0
25,3,control,con,15,0,1,0,0,0,0,0
25,4,control,con,15,0,1,0,0,0,0,0
25,5,rvbu,treat,45,0,1,1,0,1,0,0
25,6,jawe,treat,15,0,1,1,0,0,1,0
26,1,control,con,15,0,1,0,0,0,0,0
26,2,control,con,15,0,1,0,0,0,0,1
26,3,control,con,15,0,1,0,0,0,0,0
26,4,control,con,15,0,1,0,0,0,0,0
26,5,jawe,treat,15,0,1,1,0,0,0,0
26,6,wrsh,treat,15,0,1,0,0,0,0,1
26,7,rble,treat,15,0,1,0,1,0,0,0
26,8,rvbu,treat,15,0,1,1,0,1,0,1
27,1,control,con,15,0,1,0,0,0,0,1
27,2,control,con,15,0,1,0,0,0,0,0
27,3,control,con,15,0,1,0,0,0,0,1
27,4,control,con,15,0,1,0,0,0,0,0
27,5,rvbu,treat,10,0,1,1,0,0,0,0
27,6,jawe,treat,10,0,1,1,0,0,0,1
27,7,jawe.rble,treat,10,0,1,1,0,0,1,1
27,8,rwbu,treat,10,0,1,0,0,0,0,1
27,9,rvbu,treat,10,0,1,0,0,0,0,0
27,10,jawe.rble,treat,10,0,1,1,0,0,0,0
28,1,control,con,15,0,0,0,0,0,0,0
28,2,control,con,15,0,0,0,0,0,1,1
28,3,control,con,15,0,0,0,0,0,0,1
28,4,control,con,15,0,0,0,1,0,1,0
28,5,rvbu,treat,15,0,0,0,0,0,0,1
28,6,jawe,treat,15,0,0,0,0,0,0,0
28,7,rble,treat,15,0,0,0,0,0,0,0
28,8,rwbu,treat,15,0,0,0,0,0,0,1
29,1,control,con,15,0,1,0,1,0,0,0
29,2,control,con,15,0,1,0,0,0,0,1
29,3,control,con,15,0,1,0,0,0,0,1
29,4,control,con,15,0,1,0,0,0,0,0
29,5,jawe,treat,15,0,1,1,1,0,0,0
29,6,rvbu,treat,15,0,1,0,0,1,0,0
29,7,rble,treat,15,0,1,1,1,0,0,1
29,8,rwbu,treat,15,0,1,0,0,0,1,1
30,1,control,con,15,0,1,1,0,0,0,1
30,2,control,con,15,0,1,0,0,0,0,0
30,3,control,con,15,0,1,0,0,0,0,0
30,4,control,con,15,0,1,1,0,0,0,0
30,5,rvbu,treat,15,0,1,1,1,1,0,1
30,6,jawe,treat,15,0,1,1,0,0,0,1
30,7,rble,treat,15,0,1,0,0,0,0,0
30,8,rwbu,treat,15,0,1,1,0,0,1,1
31,1,control,con,15,0,0,1,0,0,0,0
31,2,control,con,15,0,0,0,0,0,1,0
31,3,control,con,15,0,0,0,1,0,1,0
31,4,control,con,15,0,0,0,1,0,0,0
31,5,rvbu,treat,15,0,0,1,0,1,0,1
31,6,jawe.rble,treat,15,0,0,1,1,0,0,0
31,7,rwbu,treat,15,0,0,1,1,0,1,0
31,8,jawe,treat,15,0,0,1,0,0,0,0
32,1,control,con,15,0,1,0,0,0,0,0
